Author,Comment,CaseFolding,tokenized_comment,Remove_TandaBaca,Remove_SpasiTab,Normalisasi,Remove_StopWords_Final,Stemming,Cleaned_Text,Sentiment
@mizanovelia4168,Kekmanapun itu jin tiaraaaa. Istighfaar udh sejauh itu sampe punya anak. Nampaknua ceritanya indah tp ttp aja itu JIN😭😭😭😭,kekmanapun itu jin tiaraaaa istighfaar udh sejauh itu sampe punya anak nampaknua ceritanya indah tp ttp aja itu jin,"['kekmanapun', 'itu', 'jin', 'tiaraaaa', 'istighfaar', 'udh', 'sejauh', 'itu', 'sampe', 'punya', 'anak', 'nampaknua', 'ceritanya', 'indah', 'tp', 'ttp', 'aja', 'itu', 'jin']","['kekmanapun', 'itu', 'jin', 'tiaraaaa', 'istighfaar', 'udh', 'sejauh', 'itu', 'sampe', 'punya', 'anak', 'nampaknua', 'ceritanya', 'indah', 'tp', 'ttp', 'aja', 'itu', 'jin']","['kekmanapun', 'itu', 'jin', 'tiaraaaa', 'istighfaar', 'udh', 'sejauh', 'itu', 'sampe', 'punya', 'anak', 'nampaknua', 'ceritanya', 'indah', 'tp', 'ttp', 'aja', 'itu', 'jin']","['kekmanapun', 'itu', 'jin', 'tiaraaaa', 'istighfaar', 'sudah', 'sejauh', 'itu', 'sampe', 'punya', 'anak', 'nampaknua', 'ceritanya', 'indah', 'tapi', 'ttp', 'saja', 'itu', 'jin']","['kekmanapun', 'jin', 'tiaraaaa', 'istighfaar', 'sampe', 'anak', 'nampaknua', 'ceritanya', 'indah', 'ttp', 'jin']","['kekmanapun', 'jin', 'tiaraaaa', 'istighfaar', 'sampe', 'anak', 'nampaknua', 'cerita', 'indah', 'ttp', 'jin']",kekmanapun jin tiaraaaa istighfaar sampe anak nampaknua cerita indah ttp jin,Netral
@SaadatulFitriyah-m3j,"Penasaran anaknya uda berapa tahun ya, kan katanya kalo anak dr bangsa jin gitu cuma bertahan beberapa tahun aja trus meninggal tapi gk tau ya",penasaran anaknya uda berapa tahun ya kan katanya kalo anak dr bangsa jin gitu cuma bertahan beberapa tahun aja trus meninggal tapi gk tau ya,"['penasaran', 'anaknya', 'uda', 'berapa', 'tahun', 'ya', 'kan', 'katanya', 'kalo', 'anak', 'dr', 'bangsa', 'jin', 'gitu', 'cuma', 'bertahan', 'beberapa', 'tahun', 'aja', 'trus', 'meninggal', 'tapi', 'gk', 'tau', 'ya']","['penasaran', 'anaknya', 'uda', 'berapa', 'tahun', 'ya', 'kan', 'katanya', 'kalo', 'anak', 'dr', 'bangsa', 'jin', 'gitu', 'cuma', 'bertahan', 'beberapa', 'tahun', 'aja', 'trus', 'meninggal', 'tapi', 'gk', 'tau', 'ya']","['penasaran', 'anaknya', 'uda', 'berapa', 'tahun', 'ya', 'kan', 'katanya', 'kalo', 'anak', 'dr', 'bangsa', 'jin', 'gitu', 'cuma', 'bertahan', 'beberapa', 'tahun', 'aja', 'trus', 'meninggal', 'tapi', 'gk', 'tau', 'ya']","['penasaran', 'anaknya', 'uda', 'berapa', 'tahun', 'kan', 'katanya', 'kalo', 'anak', 'dari', 'bangsa', 'jin', 'begitu', 'cuma', 'bertahan', 'beberapa', 'tahun', 'saja', 'terus', 'meninggal', 'tapi', 'tidak', 'tau']","['penasaran', 'anaknya', 'uda', 'kalo', 'anak', 'bangsa', 'jin', 'bertahan', 'meninggal', 'tau']","['penasaran', 'anak', 'uda', 'kalo', 'anak', 'bangsa', 'jin', 'tahan', 'tinggal', 'tau']",penasaran anak uda kalo anak bangsa jin tahan tinggal tau,Netral
@kimdherty7342,Aku juga pernah mimpi ketemu dan deket sama cowo tp aku ga ingat wajahnya namanya dan langsung lupa aku cuma ingatnkejadian apa aja yg aku alami pas ketemu dia mukanya ga inget tp yg pasti orngnya ganteng😂 soalnya aku merasa excited dan mau kenal tp d mimpi itu juga ada cowo lain yg cowo nyata emng aku kenal. Aku mimpi kekgini 2 kali tp cowonya kayanya beda😂 klo ini bener” bunga tidur aja sih krna cuma sekali. Dan cowo yg satunya (beda orng) juga sekali😂,aku juga pernah mimpi ketemu dan deket sama cowo tp aku ga ingat wajahnya namanya dan langsung lupa aku cuma ingatnkejadian apa aja yg aku alami pas ketemu dia mukanya ga inget tp yg pasti orngnya ganteng soalnya aku merasa excited dan mau kenal tp d mimpi itu juga ada cowo lain yg cowo nyata emng aku kenal aku mimpi kekgini  kali tp cowonya kayanya beda klo ini bener bunga tidur aja sih krna cuma sekali dan cowo yg satunya beda orng juga sekali,"['aku', 'juga', 'pernah', 'mimpi', 'ketemu', 'dan', 'deket', 'sama', 'cowo', 'tp', 'aku', 'ga', 'ingat', 'wajahnya', 'namanya', 'dan', 'langsung', 'lupa', 'aku', 'cuma', 'ingatnkejadian', 'apa', 'aja', 'yg', 'aku', 'alami', 'pas', 'ketemu', 'dia', 'mukanya', 'ga', 'inget', 'tp', 'yg', 'pasti', 'orngnya', 'ganteng', 'soalnya', 'aku', 'merasa', 'excited', 'dan', 'mau', 'kenal', 'tp', 'd', 'mimpi', 'itu', 'juga', 'ada', 'cowo', 'lain', 'yg', 'cowo', 'nyata', 'emng', 'aku', 'kenal', 'aku', 'mimpi', 'kekgini', 'kali', 'tp', 'cowonya', 'kayanya', 'beda', 'klo', 'ini', 'bener', 'bunga', 'tidur', 'aja', 'sih', 'krna', 'cuma', 'sekali', 'dan', 'cowo', 'yg', 'satunya', 'beda', 'orng', 'juga', 'sekali']","['aku', 'juga', 'pernah', 'mimpi', 'ketemu', 'dan', 'deket', 'sama', 'cowo', 'tp', 'aku', 'ga', 'ingat', 'wajahnya', 'namanya', 'dan', 'langsung', 'lupa', 'aku', 'cuma', 'ingatnkejadian', 'apa', 'aja', 'yg', 'aku', 'alami', 'pas', 'ketemu', 'dia', 'mukanya', 'ga', 'inget', 'tp', 'yg', 'pasti', 'orngnya', 'ganteng', 'soalnya', 'aku', 'merasa', 'excited', 'dan', 'mau', 'kenal', 'tp', 'd', 'mimpi', 'itu', 'juga', 'ada', 'cowo', 'lain', 'yg', 'cowo', 'nyata', 'emng', 'aku', 'kenal', 'aku', 'mimpi', 'kekgini', 'kali', 'tp', 'cowonya', 'kayanya', 'beda', 'klo', 'ini', 'bener', 'bunga', 'tidur', 'aja', 'sih', 'krna', 'cuma', 'sekali', 'dan', 'cowo', 'yg', 'satunya', 'beda', 'orng', 'juga', 'sekali']","['aku', 'juga', 'pernah', 'mimpi', 'ketemu', 'dan', 'deket', 'sama', 'cowo', 'tp', 'aku', 'ga', 'ingat', 'wajahnya', 'namanya', 'dan', 'langsung', 'lupa', 'aku', 'cuma', 'ingatnkejadian', 'apa', 'aja', 'yg', 'aku', 'alami', 'pas', 'ketemu', 'dia', 'mukanya', 'ga', 'inget', 'tp', 'yg', 'pasti', 'orngnya', 'ganteng', 'soalnya', 'aku', 'merasa', 'excited', 'dan', 'mau', 'kenal', 'tp', 'd', 'mimpi', 'itu', 'juga', 'ada', 'cowo', 'lain', 'yg', 'cowo', 'nyata', 'emng', 'aku', 'kenal', 'aku', 'mimpi', 'kekgini', 'kali', 'tp', 'cowonya', 'kayanya', 'beda', 'klo', 'ini', 'bener', 'bunga', 'tidur', 'aja', 'sih', 'krna', 'cuma', 'sekali', 'dan', 'cowo', 'yg', 'satunya', 'beda', 'orng', 'juga', 'sekali']","['aku', 'juga', 'pernah', 'mimpi', 'ketemu', 'dan', 'deket', 'sama', 'cowo', 'tapi', 'aku', 'tidak', 'ingat', 'wajahnya', 'namanya', 'dan', 'langsung', 'lupa', 'aku', 'cuma', 'ingatnkejadian', 'apa', 'saja', 'yang', 'aku', 'alami', 'pas', 'ketemu', 'dia', 'mukanya', 'tidak', 'inget', 'tapi', 'yang', 'pasti', 'orngnya', 'ganteng', 'soalnya', 'aku', 'merasa', 'excited', 'dan', 'mau', 'kenal', 'tapi', 'di', 'mimpi', 'itu', 'juga', 'ada', 'cowo', 'lain', 'yang', 'cowo', 'nyata', 'emng', 'aku', 'kenal', 'aku', 'mimpi', 'kekgini', 'kali', 'tapi', 'cowonya', 'kayanya', 'beda', 'kalo', 'ini', 'bener', 'bunga', 'tidur', 'saja', 'karena', 'cuma', 'sekali', 'dan', 'cowo', 'yang', 'satunya', 'beda', 'orang', 'juga', 'sekali']","['mimpi', 'ketemu', 'deket', 'cowo', 'wajahnya', 'namanya', 'langsung', 'lupa', 'ingatnkejadian', 'alami', 'pas', 'ketemu', 'mukanya', 'inget', 'orngnya', 'ganteng', 'excited', 'kenal', 'mimpi', 'cowo', 'cowo', 'nyata', 'emng', 'kenal', 'mimpi', 'kekgini', 'kali', 'cowonya', 'kayanya', 'beda', 'kalo', 'bener', 'bunga', 'tidur', 'cowo', 'satunya', 'beda', 'orang']","['mimpi', 'ketemu', 'deket', 'cowo', 'wajah', 'nama', 'langsung', 'lupa', 'ingatnkejadian', 'alami', 'pas', 'ketemu', 'muka', 'inget', 'orngnya', 'ganteng', 'excited', 'kenal', 'mimpi', 'cowo', 'cowo', 'nyata', 'emng', 'kenal', 'mimpi', 'kekgini', 'kali', 'cowonya', 'kaya', 'beda', 'kalo', 'bener', 'bunga', 'tidur', 'cowo', 'satu', 'beda', 'orang']",mimpi ketemu deket cowo wajah nama langsung lupa ingatnkejadian alami pas ketemu muka inget orngnya ganteng excited kenal mimpi cowo cowo nyata emng kenal mimpi kekgini kali cowonya kaya beda kalo bener bunga tidur cowo satu beda orang,Positif
@SuperAlyn,Kayak cerita naruto pas di bulan cok pas Hinata di rebut Toneri kalo gsalah,kayak cerita naruto pas di bulan cok pas hinata di rebut toneri kalo gsalah,"['kayak', 'cerita', 'naruto', 'pas', 'di', 'bulan', 'cok', 'pas', 'hinata', 'di', 'rebut', 'toneri', 'kalo', 'gsalah']","['kayak', 'cerita', 'naruto', 'pas', 'di', 'bulan', 'cok', 'pas', 'hinata', 'di', 'rebut', 'toneri', 'kalo', 'gsalah']","['kayak', 'cerita', 'naruto', 'pas', 'di', 'bulan', 'cok', 'pas', 'hinata', 'di', 'rebut', 'toneri', 'kalo', 'gsalah']","['seperti', 'cerita', 'naruto', 'pas', 'di', 'bulan', 'cok', 'pas', 'hinata', 'di', 'rebut', 'toneri', 'kalo', 'gsalah']","['cerita', 'naruto', 'pas', 'cok', 'pas', 'hinata', 'rebut', 'toneri', 'kalo', 'gsalah']","['cerita', 'naruto', 'pas', 'cok', 'pas', 'hinata', 'rebut', 'toneri', 'kalo', 'gsalah']",cerita naruto pas cok pas hinata rebut toneri kalo gsalah,Netral
@rennywibisono9047,Jd penisirin wajah anak nya.. hihi,jd penisirin wajah anak nya hihi,"['jd', 'penisirin', 'wajah', 'anak', 'nya', 'hihi']","['jd', 'penisirin', 'wajah', 'anak', 'nya', 'hihi']","['jd', 'penisirin', 'wajah', 'anak', 'nya', 'hihi']","['jadi', 'penisirin', 'wajah', 'anak', 'nya']","['penisirin', 'wajah', 'anak']","['penisirin', 'wajah', 'anak']",penisirin wajah anak,Netral
@rivkyfirmansyah1123,Ih kasian suaminya ... knp g mnta d bersihkan ...🥹,ih kasian suaminya  knp g mnta d bersihkan ,"['ih', 'kasian', 'suaminya', 'knp', 'g', 'mnta', 'd', 'bersihkan']","['ih', 'kasian', 'suaminya', 'knp', 'g', 'mnta', 'd', 'bersihkan']","['ih', 'kasian', 'suaminya', 'knp', 'g', 'mnta', 'd', 'bersihkan']","['ih', 'kasian', 'suaminya', 'kenapa', 'g', 'mnta', 'di', 'bersihkan']","['ih', 'kasian', 'suaminya', 'g', 'mnta', 'bersihkan']","['ih', 'kasi', 'suami', 'g', 'mnta', 'sih']",ih kasi suami g mnta sih,Netral
@bucinofficialfirst,"Udah nonton berkali2 semenjak video nya di up, dan skrng udh 2025 gini ga bosen bosen. Makasih kak nad udah menemani hari hari ku❤",udah nonton berkali semenjak video nya di up dan skrng udh  gini ga bosen bosen makasih kak nad udah menemani hari hari ku,"['udah', 'nonton', 'berkali', 'semenjak', 'video', 'nya', 'di', 'up', 'dan', 'skrng', 'udh', 'gini', 'ga', 'bosen', 'bosen', 'makasih', 'kak', 'nad', 'udah', 'menemani', 'hari', 'hari', 'ku']","['udah', 'nonton', 'berkali', 'semenjak', 'video', 'nya', 'di', 'up', 'dan', 'skrng', 'udh', 'gini', 'ga', 'bosen', 'bosen', 'makasih', 'kak', 'nad', 'udah', 'menemani', 'hari', 'hari', 'ku']","['udah', 'nonton', 'berkali', 'semenjak', 'video', 'nya', 'di', 'up', 'dan', 'skrng', 'udh', 'gini', 'ga', 'bosen', 'bosen', 'makasih', 'kak', 'nad', 'udah', 'menemani', 'hari', 'hari', 'ku']","['sudah', 'nonton', 'berkali', 'semenjak', 'video', 'nya', 'di', 'up', 'dan', 'skrng', 'sudah', 'gini', 'tidak', 'bosen', 'bosen', 'makasih', 'kak', 'nad', 'sudah', 'menemani', 'hari', 'hari', 'ku']","['nonton', 'berkali', 'semenjak', 'video', 'skrng', 'gini', 'bosen', 'bosen', 'makasih', 'menemani']","['nonton', 'kali', 'semenjak', 'video', 'skrng', 'gin', 'bosen', 'bosen', 'makasih', 'tani']",nonton kali semenjak video skrng gin bosen bosen makasih tani,Netral
@IdaMade-b1f,Merinding sebadan badan Wak....ngeriii kaliii,merinding sebadan badan wakngeriii kaliii,"['merinding', 'sebadan', 'badan', 'wakngeriii', 'kaliii']","['merinding', 'sebadan', 'badan', 'wakngeriii', 'kaliii']","['merinding', 'sebadan', 'badan', 'wakngeriii', 'kaliii']","['merinding', 'sebadan', 'badan', 'wakngeriii', 'kaliii']","['merinding', 'sebadan', 'badan', 'wakngeriii', 'kaliii']","['merinding', 'bad', 'badan', 'wakngeriii', 'kaliii']",merinding bad badan wakngeriii kaliii,Negatif
@RumaretaWifah,"Pliiss ceritaa nyaa hampir sama dengan ceritaa di fizzo novel, judul nyaaa KINANTI😫Kaliann haruss bacaa guysss",pliiss ceritaa nyaa hampir sama dengan ceritaa di fizzo novel judul nyaaa kinantikaliann haruss bacaa guysss,"['pliiss', 'ceritaa', 'nyaa', 'hampir', 'sama', 'dengan', 'ceritaa', 'di', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']","['pliiss', 'ceritaa', 'nyaa', 'hampir', 'sama', 'dengan', 'ceritaa', 'di', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']","['pliiss', 'ceritaa', 'nyaa', 'hampir', 'sama', 'dengan', 'ceritaa', 'di', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']","['pliiss', 'ceritaa', 'nyaa', 'hampir', 'sama', 'dengan', 'ceritaa', 'di', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']","['pliiss', 'ceritaa', 'nyaa', 'ceritaa', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']","['pliiss', 'ceritaa', 'nyaa', 'ceritaa', 'fizzo', 'novel', 'judul', 'nyaaa', 'kinantikaliann', 'haruss', 'bacaa', 'guysss']",pliiss ceritaa nyaa ceritaa fizzo novel judul nyaaa kinantikaliann haruss bacaa guysss,Positif
@fazio2425,"Wee aku datang dr 28 june 2025 / 20:59 , kabarin kalo udah ada part 2 nya 😂",wee aku datang dr  june     kabarin kalo udah ada part  nya ,"['wee', 'aku', 'datang', 'dr', 'june', 'kabarin', 'kalo', 'udah', 'ada', 'part', 'nya']","['wee', 'aku', 'datang', 'dr', 'june', 'kabarin', 'kalo', 'udah', 'ada', 'part', 'nya']","['wee', 'aku', 'datang', 'dr', 'june', 'kabarin', 'kalo', 'udah', 'ada', 'part', 'nya']","['wee', 'aku', 'datang', 'dari', 'june', 'kabarin', 'kalo', 'sudah', 'ada', 'bagian', 'nya']","['wee', 'june', 'kabarin', 'kalo']","['wee', 'june', 'kabarin', 'kalo']",wee june kabarin kalo,Netral
@UsiaNamira,Seruu benerr anjrrr ceritanyaaa bisa kali keluar di bioskop,seruu benerr anjrrr ceritanyaaa bisa kali keluar di bioskop,"['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'bisa', 'kali', 'keluar', 'di', 'bioskop']","['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'bisa', 'kali', 'keluar', 'di', 'bioskop']","['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'bisa', 'kali', 'keluar', 'di', 'bioskop']","['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'bisa', 'kali', 'keluar', 'di', 'bioskop']","['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'kali', 'bioskop']","['seruu', 'benerr', 'anjrrr', 'ceritanyaaa', 'kali', 'bioskop']",seruu benerr anjrrr ceritanyaaa kali bioskop,Netral
@zhea_love,"Ini kalo cuma karangan pls aku kecawa, soalnya ini mirip cerita manhwa pls, aku malah ngebayangin duke atau pangeran ganteng banget lagi😭",ini kalo cuma karangan pls aku kecawa soalnya ini mirip cerita manhwa pls aku malah ngebayangin duke atau pangeran ganteng banget lagi,"['ini', 'kalo', 'cuma', 'karangan', 'pls', 'aku', 'kecawa', 'soalnya', 'ini', 'mirip', 'cerita', 'manhwa', 'pls', 'aku', 'malah', 'ngebayangin', 'duke', 'atau', 'pangeran', 'ganteng', 'banget', 'lagi']","['ini', 'kalo', 'cuma', 'karangan', 'pls', 'aku', 'kecawa', 'soalnya', 'ini', 'mirip', 'cerita', 'manhwa', 'pls', 'aku', 'malah', 'ngebayangin', 'duke', 'atau', 'pangeran', 'ganteng', 'banget', 'lagi']","['ini', 'kalo', 'cuma', 'karangan', 'pls', 'aku', 'kecawa', 'soalnya', 'ini', 'mirip', 'cerita', 'manhwa', 'pls', 'aku', 'malah', 'ngebayangin', 'duke', 'atau', 'pangeran', 'ganteng', 'banget', 'lagi']","['ini', 'kalo', 'cuma', 'karangan', 'tolong', 'aku', 'kecawa', 'soalnya', 'ini', 'mirip', 'cerita', 'manhwa', 'tolong', 'aku', 'malah', 'ngebayangin', 'duke', 'atau', 'pangeran', 'ganteng', 'banget', 'lagi']","['kalo', 'karangan', 'tolong', 'kecawa', 'cerita', 'manhwa', 'tolong', 'ngebayangin', 'duke', 'pangeran', 'ganteng', 'banget']","['kalo', 'karang', 'tolong', 'kecawa', 'cerita', 'manhwa', 'tolong', 'ngebayangin', 'duke', 'pangeran', 'ganteng', 'banget']",kalo karang tolong kecawa cerita manhwa tolong ngebayangin duke pangeran ganteng banget,Netral
@qonita3557,"Seharusnya jujur sama kekuarganya,padahal bertahun tahun lo,wlpun itu cuma mimpi tapi kan berulang terus,seharusnya berfikir secara logis..dan minta diruwyah atau minta bantuan orang yg ngerti",seharusnya jujur sama kekuarganyapadahal bertahun tahun lowlpun itu cuma mimpi tapi kan berulang terusseharusnya berfikir secara logisdan minta diruwyah atau minta bantuan orang yg ngerti,"['seharusnya', 'jujur', 'sama', 'kekuarganyapadahal', 'bertahun', 'tahun', 'lowlpun', 'itu', 'cuma', 'mimpi', 'tapi', 'kan', 'berulang', 'terusseharusnya', 'berfikir', 'secara', 'logisdan', 'minta', 'diruwyah', 'atau', 'minta', 'bantuan', 'orang', 'yg', 'ngerti']","['seharusnya', 'jujur', 'sama', 'kekuarganyapadahal', 'bertahun', 'tahun', 'lowlpun', 'itu', 'cuma', 'mimpi', 'tapi', 'kan', 'berulang', 'terusseharusnya', 'berfikir', 'secara', 'logisdan', 'minta', 'diruwyah', 'atau', 'minta', 'bantuan', 'orang', 'yg', 'ngerti']","['seharusnya', 'jujur', 'sama', 'kekuarganyapadahal', 'bertahun', 'tahun', 'lowlpun', 'itu', 'cuma', 'mimpi', 'tapi', 'kan', 'berulang', 'terusseharusnya', 'berfikir', 'secara', 'logisdan', 'minta', 'diruwyah', 'atau', 'minta', 'bantuan', 'orang', 'yg', 'ngerti']","['seharusnya', 'jujur', 'sama', 'kekuarganyapadahal', 'bertahun', 'tahun', 'lowlpun', 'itu', 'cuma', 'mimpi', 'tapi', 'kan', 'berulang', 'terusseharusnya', 'berfikir', 'secara', 'logisdan', 'minta', 'diruwyah', 'atau', 'minta', 'bantuan', 'orang', 'yang', 'ngerti']","['jujur', 'kekuarganyapadahal', 'bertahun', 'lowlpun', 'mimpi', 'berulang', 'terusseharusnya', 'berfikir', 'logisdan', 'diruwyah', 'bantuan', 'orang', 'ngerti']","['jujur', 'kekuarganyapadahal', 'tahun', 'lowlpun', 'mimpi', 'ulang', 'terusseharusnya', 'berfikir', 'logisdan', 'diruwyah', 'bantu', 'orang', 'ngerti']",jujur kekuarganyapadahal tahun lowlpun mimpi ulang terusseharusnya berfikir logisdan diruwyah bantu orang ngerti,Netral
