Cleaned_Text,label_prediksi
cakep anaknyaaa,neutral
nonton bayangin wajah kasih ghaib tiara gantang,positive
si tiara halu,negative
absurd banget bejirr,positive
mimpi mimpi kali muka pas bangun coba muka dateng mimpi pas jatuh cinta ma orang ma cowo cowo ma jauh sumpah jin sumpah resek bangettttttt gua ama cowo gua cinta anjirtttt biar pergi,neutral
beneran novel film dahh,neutral
tiara bodoh kak tuhan,neutral
kak cerita tanggung,positive
pergi rame ey duduk ahhhhhh,neutral
posisi tiara tahan lelaki sis nas niat lakilaki sosok jin cinta manusia tipu muslihat hukum agama hendak,negative
mimpi kya jlan laki sampe hubung badan,negative
ku cerita yahh nenek tiara mimpi nenek reaksi ah mimpi kalo mimpi terus nenek berfikir cari solusi kalo mimpi terus dunia nyata jgn anggap mimpi biasahanya bunga tidur kalo gin anak lakilaki mimpi takut cerita keluarga keluarga salah tiara cerita kalo cerita ruku jadi uhhhh bingung tiara moga tiara lindung allah aamiin,negative
tiara selingkuh,negative
tiaraegois,neutral
halo kakaku cerita horor,negative
sumpah nonton cerita seru sumpahh wee kalo nyebutnya nikah memedi manusia alam anaknyaa woeeee gong banget sihh,positive
alamin parah alamin mimpi dg orang ulang samad cerita dg keluarga mrk percaya cuman anggap bunga tidur beda alhamdulillah gugur cerita suami percaya marah pendam,negative
ku cerita mimpi kak cerita bagus banget sumpah,positive
karna cerita kwh tayang nonton cerita tonton ngerasa cerita fiksi nyata si mbak tiara bnr bawa arus kabar gimana karna kalo disukain jin sulit lepas moga mbak tiara sadar lepas jerat tipu daya jin,negative
ken ngerasain pacar goib kayak dunia seru mn orang goib kykny milih,positive
banget kait cerita jadi apa kait nenek mimpi kait si tiara cerita nenek,neutral
tiara mimpi jin ganteng kali datengin gondoruwo kmar woy laaahhh jgn maudzu billah suami,negative
suka cerita pria tampan adegan panas the best tiara,positive
tiara cepat mens ak mens,neutral
ngalamin kakak tiara,neutral
gantung banget gimana reaksi suami tiara pas lihat anak kembar plek ketiplek pria lihat mimpi kali gimana lanjut hubung tiara si pria mimpi kalo suami cerai teknis bilang poliandri,positive
kali dengerin podcast horror horrorhorror banget merinding cerita moyang tiara bikin janji bangsa jin jodohintumbalin turun gimana balas harta tahta apa,negative
kocakk jin emang penuh tipu daya percaya omong jin ngomong anggap kasih jaga asa jin suami mu kakkk,negative
ini kecee bangettt,neutral
wahhh gegeee ituu kalauu film berlajutt berseason season s snya anak suami tampanya aww,positive
bawah bendera nengyang,neutral
njir gua,neutral
nauzubillahminzalik,neutral
kalo anak anak pria ganteng brrti anak kembar cakep bisaaaaaaaaaaaaaa percaya percaya,positive
cerita denger sebenernya samar nama suami tonton dengar kisah ngeh cerita suami rasa mimpi moga lindung allah swt,negative
seru kali dongeng,positive
makasih kak,neutral
penasaran banget puas gimana cerah cowok mimpi tolong ngasih tau pa ustad nenek tau pas mimpi nenek ngelarang tiara ketemu cowok pas kali mimpi nenek nyimpen rahasia sii aaa tau penasaran banget,positive
pacar tiara mimpi emang beneran siitpi dunia lainbkn dunia nyata like w two world,neutral
rem banget asli merinding tengiang ngiang cerita asli wak rem banget rem cerita hantu seram asli banget rem takut wak,positive
cerita kakak nadia real sihh bingung,positive
nonton sekian kali aaaa seru,positive
sedih milih diam cerita keluarga kecewa kalo pikir ruqyah akan cinta laki ih sedih kakanya jujur suami,negative
kak nadia cerita cerita ygmiripnya umur puluh kak beda bangun mimpi janji permaisuri kak cuman mimpi kak sampe mimpi ketemu orang ad mimpi,neutral
tiara kek menukmati nyari solusi biar lepas rukiah,negative
alamin beda eding ngalamin smp kls kerja ttp mimpi lamar suami ku malam suami ku lamar tidur mimpi ajak alam ajak nikah tinggal sana meni suami mimpi,neutral
turut cerita fiktiff cerita logika aib gapernah cerita mimpi cerita angkat medsos orang nama samar,positive
dlu suka mimpi ketemu cowok ganteng bnget semenjak nikah jagain bnget alhamdulilah skrng ngk semenjak nikah,neutral
nonton keinget plot cerita film nosferatu yaklo islam denger kalo minpi gin jin suka tiara itujadi jin masuk mimpi visualisasi tiara sukamakanya isi pangeran ganteng tmpt istana indah,negative
kakak tiara kisah angkat film bioskop pengantin setan,neutral
ko takut plis,negative
expettt sampe anak dunia mimpiiii cowok ganteng,neutral
kalo bagi cerita kak nadia giamna,positive
posisi tiara sllu ganggu jin,negative
assalamualaikum kak nadiaa omara nama ima alami beda tidur peluk cerita cerita,neutral
mimpi kak tiara jin,negative
ken takut cowo gonderuwo wkwkw,negative
suka cerita,positive
kak cerita mu bikin novel bagus nikah jin tampan tiara dunia,neutral
ih gin mimpi guys oh to be loved like thissss,neutral
sukaaak banget nonton x bulan sumpah apapunnn,positive
serius hubung makhluk gaib emang anak wujud manusia beneran,neutral
kakak lulus pondok kak tempel siluman harimau abis ngedaki ciremai pas pulang sifat keras sombong kasar gapernah solat ngeliat orang melotot rem deh pokok abis diruqiyah alhamdulilah,neutral
sumpah cerita seru rem ples,positive
suami kagak curiga gmn mirip sabar bang,positive
cerita beneran ish greget banget tiara,negative
gila luar nurul,negative
anak bka nadia anak suami anak si hantu,positive
ganjel cerita mimpi selesai pas tiara nikah tengkar suami th nikah libur hamil anak kembar tahun mimpi bln maju asa,positive
anak ganteng,positive
ny rukiah,neutral
anak asuh dunia anak dunia asuh tiara wkwkw,neutral
langsung tiara nikmat kasih mimpi terpesna tampan,negative
spt,neutral
alam tiarad usia th dtgn sosok laki mimpitp wjah laki tutup cahayaterus ulang sampe dewasa menikahktika hamil usia bln calon baby ku kembar kmbli mimpi sosok laki itutp beday mimpi sosok suami ku wanita sdg rangkul suamikulaki hnya pandang aktivitas suami wanita itusmpai bangun subuhdan aktifitas biasayktika sdg cuci hpku berbunyiktika lihat bbm msuk anak buah suamikubhwa hrs selidik suami ku tmpt dy krjakrna slma suami sdh berselingkuhdan ikutin sarannyadan trnyta bnar suami ngebonceng wanita dg msraaq ikutin smpe k kosyawalnya hnya wanita itutp knpa sprti dorong msuk k kamar kos itudan ktika mengetuktrnyta pintu buka sdikitaq lngsng msuk alangkah kagety lihat mrka sdg hubung suami istristlh jadi kdrt suamidan wanita sllu kirim santet sllu gagalsmpe suami pisah stlh anak kembar kmi lahirsingkat cerita kmbli dtgn sosok mimpi itudan x wjahy jelasdy tampantp slma laki berbicarahnya senyum sajadan ktika seorg lakitiba mimpi dtgtp marahdia tarik tangan ku xnya pergi lagikm kmnkamu milikkusiapapun hak atas tulus seperti situ berontak berontakaq mmnolak nyamembuat smkin marahtangan tdy putih mulus ubah hitam pekat kasarsorot mata sngat tajam warna merah menyalaaq takuttiba sayup dgr sprti ad orang sdg mengajiramai sklidan cba ikutin baca ayat wlw susah payahdan pelan tangan lepas bngun sdh rs tangan sprti orang kejangdan trnyta sdh rs slma minggu keluarga ku situ sdg aji,neutral
sumpah nonton video mimpi kalo emang mimpi hamil,negative
ruqiah mesti anak hilang,negative
asa suami kalo dengar cerita,negative
menit,negative
narasumber tololllllll gw tonton bener bener tuhan anjer,neutral
apasii tiaraa ampunn bisa hubung badan makhuk gaib,negative
tiara hilang delapan harikok kandung ny,neutral
sekian cerita dengar kak nad cerita bikin kesel gamau lanjutin tonton maaf kak bener bener si tiara tau laki ghaib mimpi suami tetep diam hilang anak bener gila emg lihat komenan orang hubung badan laki ghaib kasih ghaib ampun tiara waras daya jin tersbut,negative
nge gantung,neutral
kisah cerita novel si cowok nama daputa,neutral
pas nenek tiara bentak sipria merinding,positive
gimana ngirim cerita kak nadia omara,neutral
nonton pas,neutral
suami cemburu anak ganteng dn beda wkwkwk,neutral
kak nonton kali loh kaya ulang deh nonton seru,positive
plis cowo dunia nyata kyak mimpi tiara nang lo pas buat apa paksa cinta ku paksa bawa mu dunia paksa cinta ku baperrr tiara cinta scr ugalugalan,neutral
asli rem banget siiklo tiara dirukiyah,positive
nonton februari gimanaa kelanjutanyyaa ada,neutral
btw suami si mb tiara nonton ngak kalo nonton ngak bongkar mimpi akhir tiara,neutral
penasaran,positive
lu bayangin cyukk suami sah si tiara,negative
done,neutral
im still waiting for,neutral
rewatch,positive
bikin aneh jin bilang tiara milik telusur orng tua kali janji sadar,negative
tunggu jelas nenek tiara jin mimpi suami bilang tiara hak eh,neutral
gimana asa suami tiara nonton video,negative
pls penasaran anak,positive
kya cerita cocok bikin drama drakor dracin,positive
suami tiara nonton cerita nadia omara kaget banget iya,neutral
epikkk kali kak nadd so far walopun cerita bagus cm bnr bs kt campur aduk ad sedih mgkin neng takjub ngeri best,positive
ku usia ku allah umur hidup rahasia hidup ku,neutral
kak hubung genderuwo pake muka asli loh ngeri wei reka fix bener karna orang orang nurut laki cinta alhamdulilah sihat kak mimpi ngelawan mimpi,neutral
dengar cerita selesai orang bunian teman orang bunian kampung persisi certa kakak nadia orang cantik ganteng pakai kyak raja,positive
mimpi laki kali berturutturut ngeri,neutral
kak tiara kalo lihat komen plis coba cek psikolog psikiater ganggu penasaran banget,positive
lolot lu tiara ngelakuin hs mimpi gedeg banget ngedenger cerita,positive
pleaseepak produser bikin film toloonggg,positive
bgus banget cerita kali,positive
kak sumpah suka banget,positive
merinding tiara dunia,positive
ngrasa bayangin diceritain kak nadia,positive
ngeh kepala langsung istighfar,negative
langsung bayang kota saranjana tiara ajak kesana btw nadia lu keren abis cerita gw tiktok ampe kesini,neutral
cerita tiara suami buset ken mimpi gin,negative
pantau gua nonton ulang cerita x jir,positive
gila kl drama fantasy seru banget,positive
nonton ikat jin gimana wujud asli yab,negative
kak tiara dar saran mending ruqyah putus hubung laki laki karna ganteng tau wujud asli sadar kak tiara hubung intim jin nauzubillah laki laki jin kasi suami kaka anak hasil hubung jinkasian suami kakak,negative
kak nadia ceritain hah hoh saking syok iya kak nadia tiara milih ruqiah,neutral
pls flim drakor pls ulng ulng cerita g bosen bosen pngn cerita hidup,negative
sbb mimpi malam kali tidur mimpi,neutral
emg sukain jin sampe bedain realita mimpiilusi,negative
gimana kabar mbak tiara hubung laki mimpi,neutral
buset cerita wp,positive
merindingg sumpahhh,neutral
ampun kaget seram pas dengarin cerita cinta mimpi,positive
kasihan suami mbak tiara selingkuh mbak tiara bingung nyata nolak jin maksud kalo emang mimpi selingkuh mimpi mbak muslimah tau jin bohong mbak jiwa tinggal sisi allah bkn alam jin hak mbak tiara hidup mbak maaf jujur kesel banget tuju tindak mbak tiara moga senantiasa jln allah ridhoi,negative
bayang sakit kalo suami tau,negative
penasaran laki kn jga mimpiin cowok ganteng kalo anknya cowok ganteng laki,positive
sdm rendah komentar kartun hawa berandaiandai mimpi hadir hidup anggap ratu dunia nyata tipu daya setan dahsyat sulap buruk cantik si pangeran tampan,negative
tiara dh selingkuh,negative
lihat foto anak si tiara kak,positive
penasaran hidup rumah tangga tiara suami pisah,neutral
bikin film seru kyy wakk,positive
iya ihh tiara ruqiahmalah enak pulakasian suami webisa tiara selingkuh setan sampe hamil pulakesel gueee,negative
ad kaitanya y kakak nadia mikir si heheh,neutral
tiara teges ah nyebelin,neutral
nmnya gue tiara nma samar sifat gue,neutral
tipu daya syaitan bahayaaku bilang lelaki bunian greenflag paksa tiara suka pergi kampung laki tutapi shock endingnyadia obses allahmoga dijauhkanmoga mudah urus kak tiara,positive
weyhh lainplot twist bikin speechless weyhhhsepatutnya kena refer to ustaz seram allah,negative
omakkk epikkk kali cerita percaya percaya yakan mana wak alam emng yakan,negative
rem bgus crtanya,positive
kesel tiara ngomong jujur loh heran banget orang super tutup gin luar nalar banget sampe hamil loh suami jujur kasi suami,negative
kalo suami tiara nonton gmna ntr tau gw panik,negative
ganteng donk anak,positive
kabarin kalo lanjut cerita wee,positive
bagus kalo novel,neutral
wei tiara lu pikir cerai kasi laki tiii klu cerai stdknya kb dengar kisah teropik smoga tiara keluarga lindung tuhan maha esa amin,neutral
th cepat,neutral
espek anak hubung ghaib huhuhuuu,neutral
merinding lohh,positive
salah ialaha tiara hubung badan,negative
si tiara mimpi hamil habis nonton upload kak nadia nonton kenal wawak nadia ikutin chanelnyaa tau spoiler fyp tiktok,neutral
dimimpiin laki tampan sampe dibucinin ratu banget x mimpi lanjut ngerasa banget hilang sampe dunia nyata msih suka sedih muka keinget,positive
gacor wakk kalo jadi film bioskop kerenn,positive
ngalamin mimpi bener gambar cowonya ganteng banget cm beda mimpi istri cm istri duduk padang rumput gabisa dijelasin poko indahhhh banget tmptnya mimpi bilang cm istri pilih hamil anak,positive
ky nggk percaya bukti realitas sampe anak yng cowok mimpi sampe bingung ada manusia dunia emng sosok jin apa pokok nggk bepikir akal sehat,neutral
aaaaaaa iniii the besssssstttttt,neutral
tiara ngehe sepele,neutral
cerita pengantin iblis adaptasi cerita,positive
pas kanad bilang dirukiyah gw reflek bilang ah si tiara gatal,neutral
gmn wajahjya pria dunia suami g curiga khidupan tiara gmn hadu cerita seru banget bkn nyata tau g,positive
kak,neutral
cerita favorit,positive
keren bnget cerita,positive
film pengantin setan ambil kisah nyata rewatch,positive
x nonton konten kerenn banget cerita gatau karang kisahnyata seru banget,positive
kak perna mama lela,neutral
author tolong bikinin au plisss,positive
suara kak nadya suara bagus banget kalo suara cowok,positive
sampe ikat nad jadiin film,positive
otomatis pikir tulis ku bicara wihh cocok,neutral
kali nonton iniga bosen,neutral
sumpah seru banget,positive
kisah bioskop pengantin setan,negative
kepo tiara datengin sosok lakiitu hubung laki tiara tiara temu lakiitu mimpi terkat akibat ih tiara gue pas ketemu nanyak lakiitu hadeh,negative
nonton endingnya ikut sedih,neutral
kalo drama kren,positive
cerita mind blowing banget anjir keren seru,positive
kasi suami sah salah tiara karna sadar jatuh hati kasih ghoibnya karna ganteng kali cerita fantasi banget gapercaya kalo beneran kisah nyata,negative
greget banget tahun mimpi ceritain mimpi x wajar tahun wajar anak anak jin,negative
kakak tiara cerita mu asikkk serasa dogeng sampe bawa suasana cerita,positive
kisah nyata,positive
dongeng,negative
kesel tiara sependem cerita suami cerita mimpi tiara nyeritain pas momen ajar tunda utara ganjal tambah sulit ganggu,negative
ntah mana indah gugur x selingkuh hamil anak suami blg indahkeren rasa dunia nyata wkwkk,negative
kak nadiaa tolong kak tiara donggg kepo lanjut cerita gimananabikin,positive
up tv nad,negative
hmpir kali wak ngulang no favourite bangett boh angkat filem genre fantasy iniii,neutral
gntengtpi nafkhincob nfkhin jugawis betahjd melyni suami,negative
bunian,neutral
gua denger cerita lihat film waaak cantik tiaraaaa,positive
januari nonton,neutral
banget mimpi nyata,positive
kisah ngga,negative
baper gila,negative
tolong,positive
nonton btw ko novel baca fizzo cerita,neutral
bingung bor temu s anak raja cm slh ny beda alam larang allah gmn lanjut btw nonton,neutral
ganteng asli grandong,negative
nonton cerita inget mimpi cerita beda hadir mimpi laki nyata dlu sd tepat bilang cinta k mimpikukarena lulus sd bawa ortuku k ibukotaaku tulis surat k kampung temu pindah k ibukotaaku pulkam sampe meni laki ibukota mimpi mimpi kadang sedih aku cerita jadi teman teman suami singkat cerita tengkar suami cerai aku meni dg laki kampung si laki hadir mimpi tau laki hadir mimpi milik istri aku pilih cerita dg temu dg mantan suamikudan laki hadir mimpi meni dg suami skrgaku mimpi,neutral
gw cinta drakor cinta komik romansa wahhh bett njayyy pen dehhh,positive
bikin speechlessss kobisaaaa detail wahhh gila sampe nikah dunia hamil kakak tiara gimana kondisi kak,negative
kak nadia coba bikin cerita gantung tiara tolong direspon plisss,positive
allah kau dengar doa ken mimpi,negative
cerita beda cewek kak,positive
loba waduk sia kehed,neutral
wao rapi banget cerita sprti,positive
sekian cerita favorite sampe ulang kali bosen cerita dongeng gemes pas dengernya,positive
yng nonton,neutral
gila,negative
horor,neutral
keren banget sihhhh,positive
wahh banget cerita behh bangett,positive
hai kak tonton karna rekomendasi temenbuat cerita kakak kali alami kali mimpi pangeran mimpiin umur umur takut kakak tiara moga,neutral
ken lihat muka anak tolong,positive
tiara digrooming mas gendruwo,positive
asa masuk cerita kak nadia,positive
keren banget cerita sumpahh,positive
kakak plis adain penasaran banget lanjut,positive
gue tindih mimpi dimasukin gue lsng berontak mimpi bangun nonton gue bener takut banget bkl jadi gue moga allah tolong bilang gue kalo normal gue bingung cerita ngalamin gue tau ngatasinnya,positive
mimpi barusan kandung masuk kaya anak suami dunia nyata deh,negative
cerita selesai merinding bad badan merinding takut merinding karna plot twist gilak,positive
suami dunia eehh kabul,neutral
masuk akal,neutral
kak nad tolong banget cerita sangatt gahtung,positive
merinding banget kisah amit sayang tiara cerita nenek nenek mimpi cb tiara cerita nenek mgkn tanggap nenek bs lbh aware n cari solusi perihal tiara diam kemgkinan cerita kakek tanggap serius tambah tiara introvert orang introvert susah banget cerita orang apalg kl tanggap sesuai harap mslh dunia gaib aku laki kasih worrynya efek sihir tambah hubung air terjun tiara kena pelet ato macam lena dunia gaib doa smg kak tiara n kluarga kecil sehat n selamat cerita alam gaib emg byk bs terima scr logika,neutral
kaa lanjut,positive
ngeeh persis cerita pengantin setan bayaangkan,negative
dengerin pake henset kerja behhhh sampe bawa cerita,negative
nonton merinding,positive
gosiiii,neutral
saking bagus tarik cerita sampe ken ngalamin dengerin cerita perkalikali dana vidonya ku ulang sampe ngitung umur jadi tiara ituu monmaaf denger salah hitung cerita kakak nadia umur jadi engga niat ngoreksi ngomong,positive
plisss,neutral
naudzubillahimindzalik ampe kaum jin naksir gue,negative
seru kali crta smpe g hbis fkir crta ituu sking percaya nyaa smpe ak penasaran gmn wajah anak,positive
spil muka anak anak nadddddd,neutral
hallo nonton cerita kakak dn cerita kisah alami gadis meni,neutral
woyy kak nadd ngulang nungguh baru jam dipostsesuka loh,neutral
sungguh serius hahaaa,neutral
kesi suaminyaa,neutral
penasaran suami terima anakanak muka pangeran,positive
ngerasain kya kak tiara beda temu sampe penasaran rasa wewek ampe klimaks bingung nyata sampe bae,negative
kisah nyata dongeng berbi,negative
greget jga ngalamin sam pas umur alhamdulillah mah sampe berani cerita orang tua cerita pas umur alhamdulillah suruh ruqiyah sampe alami aneh,negative
waahhhh seru banget nggk bs bayangin kl tiara smg rumah tangga suami dunia amiiieennn,positive
ngeri kak pa mimpi nyata,neutral
wak ganteng anak kembar,positive
kak nadia lanjut cerita tiara si kembar gmn dna gmn wkwkwk kepo,positive
asli merindingentah asli apa ngeri aslibaru kali denger merinding kujur tubuhtapi emang manusia jin menikahini bahaya banget loh betulbetul ruqyahasli emang ganggu hidup loh cinta jin manusia level ekstremfix tiara pergi ustadz bersih ruqyahini lewat banget tipu daya jin lohih merinding asli gw ngetik sampe merinding kujur tubuh arghhh diemin yaharusnya obatin ihhhh merinding moga putus hubung denga jin takut buruk hidup,negative
kalo emang kisah nyata parah si tiara kasi suami,negative
sampa jiwa tonton rasa klimax dengar mb nadia pinter bawa suasana hati olah bawa cerita,neutral
aaaaaakkkkkk cerita bikin melongooooo,positive
ambil vidio nadia up sosmed,negative
tim nonton,neutral
umur kelas ngk cowok dewasa suka nak,neutral
penasaran gimana tiara inipasti cerita kn ayok cerita tiara,positive
kali lihat cerita inipaling seru sihsuka bnget,positive
cerita bener mind blowingggg bener abis fikir aaaaaaa ngeri plus bayang plus bisaaa uji kak tiara jaga berat nikah,negative
lanjut sie kak,positive
waahhaku penasaran pngin mimpi temu pangeran,neutral
kakak up kota ghaib saranjana,neutral
suami gmna kak cere,negative
jadiii kopeee anak kembar nyaaa gimnnn kepooo akuu naad,positive
kuning hijau anak kembar usul upin ipin,positive
maaf cerita alam jgaaku kakak angkat dy jga dinikahin jintpi dy jga dunia nyata suami sdh bsaa anak suburdan trnyata jin mrngijinkan dy pnya anak suami dy inisampe diblg jin ceraisampr perwnikahn mrka cerai anakdan kakak ku dy hubung badan mimpi jin kakak ku nikmat pd suami dy dly,negative
gua laki laki suami sakit hati,negative
kak nad pingin mimpi tiara allah astaugfirllah,positive
doang yak,negative
sekian cerita suka cerita,positive
maaf ngikuti cerita wawak dn pling bikin ak pnasaran gmn kisah asli prnkhany mrk y maaf kepony banget,negative
salah besar mbak tiara temu kaum cowok ganteng mimpi suka rela paksa otomatis ikat jin nyamperin kalo mbak tiara niat sembuh ruqyah mandiri ilang yng dengar mbak tiara suka nauzubillah,negative
cerita seru si,positive
sumpah gimana suami kak nad kalo anak orang mimpi,negative
januari hadir,neutral
,neutral
sukaa,neutral
kak tiara hipnotis ketampananny laku naudzubillah moga keluarga jauh ganggu jin jaga allah amin amin yarobalalamin,negative
mimpi pria ganteng banget pria smp ulang batas ketemu pas smp sekolah pas sekolah kuliah universitas pas kerja mimpi tengah pas tau mimpi tolak keras bilang pacar nyata ketawa pegang tangan bilang bilang nyata bangun kak karna pacar nelfon kalo tidur sleepcall malam saya tidur nelfon hehe alhamdulillah sampe aneh dar ngobrol,neutral
best la tengok si nadh cerita comel je semangat cerita,positive
kisah kisah jawa lho,neutral
si percaya wallahuallam yak wakkk,negative
kalo gw tiara ruqiah biarin cinta sampe segitunya,negative
salfok baju kakak nadia hijau kuning,neutral
naudzubillahmindalik jin ganteng,negative
x dengar cerita laki ngerasa sakit dengernya,negative
seru kali dimimpiin cowok ganteng,positive
gimana hubung suami,negative
plis bikin gimana kondisi hidup tiara anak kembar,neutral
nonton taun seru banget sumpahh otak ku ngebayangin jadi,positive
kakak nad emng kakak tiara gx tau suami ny kn kakak tiara nyeritain kakak nadia,neutral
gila si perempuan selingkuh loh,negative
gila gmn prasa an suami,negative
tidur nonton nadia omara,neutral
yaallah kasi banget,negative
tim nonton kak,neutral
perh baca novel nikah pangeran alam gaib persis cerita gni,neutral
milih orang pintar rukiyah,negative
penasaran lanjut tiara gimana ganggu suami,negative
seru banget kak nad dosa takut anak kembar otu anak jin,positive
cerita sedia pernh ku dengar nadia omara,neutral
kali tau kak nadia denger lihat pesbuk nyari lgsg yt cerita blum lupain dn dnger,positive
plis kirim video suami tiara jir,negative
jin tarik orang ygt,negative
kak nadia seru banget cerita doa baik kak tiara suami anak moga lindung allah swt btw kak nad gimana kondisir tiara,positive
bagus cerita sedih banget kakak tiara,positive
kerja rumah makan posisi tinggal hamil bln mimpi datang ratu cinderela istana megah kasih istinanya ajak keliling tawarin bujuk tinggal bilang iya bilang iya tibatiba pangeran muka srigala buruk rupa pake baju pangeran badan bulu teriak telinga bilang tinggal kaget bangun pagi bapak nelfon suruh pulang henti kerja alhamdulillah nurut rumah cerita kalo jin tunggu rumah makan inginkn bayi perut btw kalo hamil bapak orang peka ngerti mistis tumpul bilang kalo waris mampu ajar minat tolak al fatihah,negative
sumpah bawa dimensi nyaa beneran disanaa bagus banget cerita,positive
seruu banget cerita iniiii kak tiara moga sehat,positive
ajak nikah cewek pake kebaya warna hijauaku bingung cwk cp sihsmpk nanyak manusia jindia jintp mimpi cm,neutral
rasa masuk dalam cerita keren seru banget,positive
anakkk ganteng dongg,positive
ratus kisah kisah buat merinding,positive
tiara terima laki jdilah tiara lepas laki mimpi ku mimpi ku terima laki lantang laki mimpi ku senyum buat perna mimpi laki karna meni,neutral
senang rem suami alam alam goib suami anak raja asa keren,positive
ntah suka banget crta kisah pling sukayg sring lihat brkli brsa dunia fantasiga nyngka kya gni,positive
endingnya romantis aga rem cinta ama cerita,positive
nonton h mlm th kak nad anak mimpi suami lihat paham muka laki ngga curiga suami kak sehat kak nadia,neutral
keinget cerita salah stu tmn ngjar tante ku sring datang lki laki mmpi suaminy mninggal srangan jntung ktka s istri sdang mngandung stlh anak lahir usia ktnya si anak sring hilang tba tba wlpun rmah kndsi trknci tb tb mncul kmbli kmungkinan asumsi anak suka si lki lki mmpinya tante brasumsi kalo anak hasil lki lki mmpi,neutral
nadia elakang mu ap pintu,neutral
kakak nadia cerita,positive
suami kak tiara tau mimpi,negative
benerrr bangettt alami lihat muka asli datengg tidur,neutral
kasi suami langsung mikirnya selingkuh smpe hubung allah kesel si ngapa tiara cerita lohh gada salah,negative
tiara reinkarnasi pangeran alam tunggu tiara manusiakarena tiara mati duluan meni tiara rasa ikat cinta,neutral
penasaran anak kembar tiara wak ken lihat wajah anak ganteng bapa,positive
kisah nyata gimana siii,positive
komen pertama sekian video tonton cerita emg bener cocok film fantasi horrornya luarbiasa banyak komen emg bener ken ngerasain gaboleh sisi kasi suami tiara gatau moga sampe,negative
aaaa gin umur th th mimpi ketemu cowok ganteng kenal taman sepeda bareng sempet main sekolah nganter pulang main rumah sempet nginep ortu jemput rumah maksa pulang nang pulang nang sedih pisah inti ortu pisah paksa mimpiin sempet sedih banget inget nama roni kalo diinget rada merinding,neutral
tolong lihat anaknyaa,positive
tiara nma,neutral
kak nanyaa tanda suami tau gaa kak,negative
cerita mimpi ku remajasumpah laki laki datangin ulang kali ajaganteng masyaallah biasatapi mimpi dy ketindihantapi tindih hubung laki laki itupas lihat wajah sumpah pocidan takut nang karna posisi k tindih knmakan klw lihat filem horor poci takut bencitrauma,positive
mimpiin lelaki suka nama saikal inget nmanya saikal mimpi dunia nyataa nggk sihhh turut mimpi indahh mimpi nggk,neutral
pas banget sabtu,positive
awesome,neutral
wahh keren banget si kalo cerita bioskop mntp banget,positive
tiara lont moga lu cerai,neutral
sed banget kak nadia omara kali bikin sed kak hehehe biar pas malem habis takut takut langsung nang nangissan kak moga baca,neutral
hubung badan berat maaf,negative
alami mimpi ajak terbang laki ganteng wangi semerbak wangi khas ad bumi meni hilang alhamdulillah ruqyah,neutral
plotwis suami nonton,neutral
ganteng sii ken jumpa,negative
hhmm ngebayanginnya koq enak banget sampe hamil nikah,positive
bayang anak kalo tau anak jin,negative
lucu banget cra bicara,positive
bikin ak baper merinding,positive
telat,negative
tunang meni mimpi anak mimpi minggu meni bener gimana,neutral
gmna suami tiara cerita kakak nadia suami tau bhwa tiara bersetebuh sosok mimpi,negative
cerita fizzo samapersis,positive
cerita alami beda mimpi mantan temu dgnya ingat ajha mimpi dgnya temu dgnya pasang hidup,neutral
halo kak denger cerita kilas tetangga ku rumah tahun fyi beliau tinggal denger cerita alm suka noni belanda hantu mimpi hubung badan lihat noni belnda tapiiiii nenek nenek wallohualam moga alm tenang sana aamiin,positive
tim nonton bosan,neutral
bilang bohong alami tiara beda cowok,neutral
bagus banget kak kalok cerita sampaimembuat bayang cerita lampir kak nadia sosmed,positive
gimana reaksi keluarga ngeliat anak kak tiara bapak apalagisuami tau muka asli si pria mimpi sumpah ih guys kalo cerita aneh luar nalar dengerin kasih solusi orang suka pendam takut bikin sengsara kesi kak tiara moga kuat rajin dekat allah jauh negatif jin loh kak manusia asli kakak suka jin,negative
baca komennya males nonton pdhal komennya seru dll tau ngerasa sebel tiara ken ngerukiah ken gmna gtuuu hubung badan,negative
gilaaa ini ceritaaa kereen banget hujung tau akuuuuuu,negative
enak nikahin jin tampan woeeee jin jin cakep nikahin gue,negative
seru banget,positive
plis suruh tiara tes dna anak,negative
pls film sieeh seru banget anjir,positive
penasaran muka anak,positive
laki tiara sampe ngga tau,negative
si cowo pangeran alam manusia setan jin,neutral
jujur pernh mimpi temu almarhum istri suami aqdlm mimpi dtng barang ikat pingang msh plastik almarhum istri pesan jaga barang jgn kasih kn orang pernh jumpa almarhum kenp mimpi nadia tahun llu bangun jam malam klau salh puasa heran campur bingung tlpn suami cerita kn mimpi,neutral
merinding kali denger,positive
tiara gedeg banget,positive
kakak mimpi laki ganteng genderewo bawa ku obat ustad terahir lalak ubah wujud rem samaperempuan bilang benci karna cantik mati lupa kalo ngurung,neutral
pagi jam pagi dengar cerita kak nadia lantai rumah emakku setrika lantai barusan banget emakku cerita kalo makku lihat tangga cowok cowok pakai sultan pake baju adat malaysia warna baju merah pinggang lilit kain warna merah pakai adat malaysia coba cari google pas dengar cerita pagi dengarin cerita gin emakku ganteng ma gimana wajah makku tau mama lihat nangkring tangga wajah lihat mama mama lihat pas indonesia lucu btw posisi makku lantai denger nonton video nadia,positive
kesel banget laki mimpi,positive
