Author,Comment,Comment_casefolded
@erniizza4930,Aku belum bisa percaya 😢😢 ini beneran ?? Sumpah ?,aku belum bisa percaya 😢😢 ini beneran ?? sumpah ?
@SitiNur111,Udah 2025 nih ka Tiaraaa  pliiiissssss part 2,udah 2025 nih ka tiaraaa  pliiiissssss part 2
@najwahidayat-l3v,❤❤,❤❤
@LAUSAM-c9g,Pernah kek gini tapi aku anggap itu bunga tidur😂,pernah kek gini tapi aku anggap itu bunga tidur😂
@for_salmaneira,"gila nih cerita epic banget, sampe aku replay lagi, gk pernah bosen saking serunya","gila nih cerita epic banget, sampe aku replay lagi, gk pernah bosen saking serunya"
@putridindaarifiana8172,Ro Ethoww ufu,ro ethoww ufu
@girlbozie,"aku nonton lagi vd ini karna ngalamin hal yang hampir sama kaya kak tiara, udah sekitar 1-2 tahun aku mimpi cowo yang sama, tapi nggak pernah tau wajahnya, pakaian nya selalu sama, mimpi nya emg ga sama tapi pasti ada dia, gapernah ngajak aku ngobrol atau gmn di mimpi, tapi setiap bangun slalu ngerasa kangen, ngga berani cerita ke siapa siapa.. mimpi terakhir bbrp hari yang lalu ibu dari pria ini datengin aku dan bilang buat jauhin pria ini.. tapi aku sendiri ga pernah bisa ngobrol sama dia..","aku nonton lagi vd ini karna ngalamin hal yang hampir sama kaya kak tiara, udah sekitar 1-2 tahun aku mimpi cowo yang sama, tapi nggak pernah tau wajahnya, pakaian nya selalu sama, mimpi nya emg ga sama tapi pasti ada dia, gapernah ngajak aku ngobrol atau gmn di mimpi, tapi setiap bangun slalu ngerasa kangen, ngga berani cerita ke siapa siapa.. mimpi terakhir bbrp hari yang lalu ibu dari pria ini datengin aku dan bilang buat jauhin pria ini.. tapi aku sendiri ga pernah bisa ngobrol sama dia.."
@mylixie,demi apapun ini udah 3 tahun yang lalu? omaygatt ga nyangka ternyata udah lama banget ngikutin kakk naddd. dari khw masih eps 20 an sampe skrng ngulang ini cerita yg ke 3 kalinya 😔,demi apapun ini udah 3 tahun yang lalu? omaygatt ga nyangka ternyata udah lama banget ngikutin kakk naddd. dari khw masih eps 20 an sampe skrng ngulang ini cerita yg ke 3 kalinya 😔
@FitriVebriyahHermawati,Trus gimana sekarang suaminya tau gak ya bahwa itu bukan anaknya?,trus gimana sekarang suaminya tau gak ya bahwa itu bukan anaknya?
@NurulWawawan,"Aku suka cerita tpi,KO bisa iya begitu","aku suka cerita tpi,ko bisa iya begitu"
@dearbluerose6563,"Kak,dari sekian cerita khw kenapa yg paling mebekas ini ya.malah aku baru nonton setelah 3 tahun dan dua hari sudah cerita ini membekas bgt","kak,dari sekian cerita khw kenapa yg paling mebekas ini ya.malah aku baru nonton setelah 3 tahun dan dua hari sudah cerita ini membekas bgt"
@sitimukhotimah5029,Apalah tiara😏,apalah tiara😏
@CitaCitw,Kak tanggung jawab aku telat jemput ibuku pulang  kerja😭 dan sekarang aku dimarahin,kak tanggung jawab aku telat jemput ibuku pulang  kerja😭 dan sekarang aku dimarahin
@Oktaviasaputri21,Kak aku mau dong berbagi kisah horor,kak aku mau dong berbagi kisah horor
@xxmstm,jujur gw kasian ama lakiknya tapi kalo diceritain juga gakan percaya dia 😂 gimana kalo lakinya ngeuh ya kalo yangbdicerita ini istrinua apa ga syok ya,jujur gw kasian ama lakiknya tapi kalo diceritain juga gakan percaya dia 😂 gimana kalo lakinya ngeuh ya kalo yangbdicerita ini istrinua apa ga syok ya
@anitanitut2860,Seru bnget,seru bnget
@cowokganteng1368,"Gimana sih kirim cerita ke kk nadia omara?, gw pgn cerita tapi ga tau ke mana","gimana sih kirim cerita ke kk nadia omara?, gw pgn cerita tapi ga tau ke mana"
@VviavvVviavv,"Jujur ya, aku kasihan sama suami nya, klo suami nya tau pasti kecewaan berat, kenapa Tiara g memilih untuk di ruqiah aja ya?","jujur ya, aku kasihan sama suami nya, klo suami nya tau pasti kecewaan berat, kenapa tiara g memilih untuk di ruqiah aja ya?"
@amaliapratiwi8333,"Dnger crita ini seketika teringat sama kejadian ku saat kuliah, saat itu masih kuliah sem""4 aku habis berduka ibuku meninggal, stelah itu aku jdi sring melamun"" larut"" ksedihan, dan ya aku prnh ngalami hal yang hmpir mirip dgn crita Tiara, aku selalu ktemu dimimpi TPI tiap malam Jumat dan stelah mimpi itu aku langsung ketindihan, bertemu dgn sosok yg ganteng kulit putih pdhl aku jg TDK prnh liat dia di dunia nyata, malah sangkin takutnya untk TDR saat malam Jumat itu, aku sama sekali ga tidur aku masih main hp telentang menghadap dinding, TPI dipaksa untk TDR tiba"" ada bayangan yg seolah menimpa ku dan spontan aja mataku merem sperti ketindihan pdhl sbelumnya aku ga tidur, tapi stiap dia dtng ke mimpiku selalu ada alm ibu atau alm kakek ku, seolah mreka menjaga ku agar ga mengiyakan stiap ajakan nya, Tiara mimpi berulang x tetapi aku mimpi seolah ber episode lanjutan dari mimpi Jumat lalu nya, aku mimpi seolah dari awal ketmu trs berlanjut untk lamaran dan terakhir aku hampir akad, disebrang ku ada kakeknya aku menatapnya dgn tatapan sedih TPI lagi dan lagi kakek ku menatapku sambil senyum seolah bilang  ""gapapa ndok jgn takut"", lalu saat aku terbangun akupun ketindihan dan itu jdi mimpi terakhir dari cerita yg berlanjut tiap malam jumatnya, aku crita ke ayahku tpi slalu anggap spele ga percaya, smpai aku pergi sndri ke sodaraku yg paham hal gtuan, diksih tangkal TPI dia tetap dtng ke mimpiku stiap maljum, dstu aku tkut bgt dibawa atau tkut jdi Gilak, Alhamdulillah atas izin Allah, nth knp pas aku buka tiktok lewat branda cara rukiah diri sndri dan katanya itu lbih manjur dripd di rukiah orglain, stelah aku lakukan itu percaya ga percaya dia ga dtng lgi di mimpi ku saat tiba dmna aku pas udh punya pcr dia dtng seolah ingin mencelakai pcrku Krn ga rela aku samanya, Tpi Alhamdulillah aku dan pcrku ttp sama"" walupun sbelumnya kmi putus Krn aku tkut dia knp"" perihal mmpiku, Krn kmi jg udh berkomitmen dan jgn smpe kalah sama hal sperti itu, percaya ga percaya itu aku alami dan itu kembali lgi dikita hrs yakin hanya kepada Allah SWT, cinta ga bole kalah sama hal sperti itu dan jgn prnh mengiyakan ajakannya, derajat kita jauh lbih tinggi dibanding makhluk itu. Maaf ya aku cuma mau membagikan critaku Krn cerita Tiara ini hampir mirip dgn mmpiku😁😁","dnger crita ini seketika teringat sama kejadian ku saat kuliah, saat itu masih kuliah sem""4 aku habis berduka ibuku meninggal, stelah itu aku jdi sring melamun"" larut"" ksedihan, dan ya aku prnh ngalami hal yang hmpir mirip dgn crita tiara, aku selalu ktemu dimimpi tpi tiap malam jumat dan stelah mimpi itu aku langsung ketindihan, bertemu dgn sosok yg ganteng kulit putih pdhl aku jg tdk prnh liat dia di dunia nyata, malah sangkin takutnya untk tdr saat malam jumat itu, aku sama sekali ga tidur aku masih main hp telentang menghadap dinding, tpi dipaksa untk tdr tiba"" ada bayangan yg seolah menimpa ku dan spontan aja mataku merem sperti ketindihan pdhl sbelumnya aku ga tidur, tapi stiap dia dtng ke mimpiku selalu ada alm ibu atau alm kakek ku, seolah mreka menjaga ku agar ga mengiyakan stiap ajakan nya, tiara mimpi berulang x tetapi aku mimpi seolah ber episode lanjutan dari mimpi jumat lalu nya, aku mimpi seolah dari awal ketmu trs berlanjut untk lamaran dan terakhir aku hampir akad, disebrang ku ada kakeknya aku menatapnya dgn tatapan sedih tpi lagi dan lagi kakek ku menatapku sambil senyum seolah bilang  ""gapapa ndok jgn takut"", lalu saat aku terbangun akupun ketindihan dan itu jdi mimpi terakhir dari cerita yg berlanjut tiap malam jumatnya, aku crita ke ayahku tpi slalu anggap spele ga percaya, smpai aku pergi sndri ke sodaraku yg paham hal gtuan, diksih tangkal tpi dia tetap dtng ke mimpiku stiap maljum, dstu aku tkut bgt dibawa atau tkut jdi gilak, alhamdulillah atas izin allah, nth knp pas aku buka tiktok lewat branda cara rukiah diri sndri dan katanya itu lbih manjur dripd di rukiah orglain, stelah aku lakukan itu percaya ga percaya dia ga dtng lgi di mimpi ku saat tiba dmna aku pas udh punya pcr dia dtng seolah ingin mencelakai pcrku krn ga rela aku samanya, tpi alhamdulillah aku dan pcrku ttp sama"" walupun sbelumnya kmi putus krn aku tkut dia knp"" perihal mmpiku, krn kmi jg udh berkomitmen dan jgn smpe kalah sama hal sperti itu, percaya ga percaya itu aku alami dan itu kembali lgi dikita hrs yakin hanya kepada allah swt, cinta ga bole kalah sama hal sperti itu dan jgn prnh mengiyakan ajakannya, derajat kita jauh lbih tinggi dibanding makhluk itu. maaf ya aku cuma mau membagikan critaku krn cerita tiara ini hampir mirip dgn mmpiku😁😁"
@rahmi3556,"Bisa bisanya berhubungan badan, ga pikir suami nya apa?","bisa bisanya berhubungan badan, ga pikir suami nya apa?"
@ferlyy-12,Kenapa kakak gak bikin film aja kak? Pasti seru gila pakek bangett😭😭,kenapa kakak gak bikin film aja kak? pasti seru gila pakek bangett😭😭
@Cacameme-dh9ki,"""DUNIA KITA BERBEDA""","""dunia kita berbeda"""
@RafaAzka-d9o,2025 part 2,2025 part 2
@srisakinahdamayanti3250,"Emang harus di ruqiah, nauzubillah, dan harus lebih mendekatkan diri kepada Allah SWT, nauzubillahiminzalik 🙏🏻🙏🏻🙏🏻🙏🏻","emang harus di ruqiah, nauzubillah, dan harus lebih mendekatkan diri kepada allah swt, nauzubillahiminzalik 🙏🏻🙏🏻🙏🏻🙏🏻"
@rischanoviya1707,jomblo yg keseringan dighosting pun lebih memilih makhluk ghaib drpd manusia klo beneran dia sesetia dan sesoft threat itu😅,jomblo yg keseringan dighosting pun lebih memilih makhluk ghaib drpd manusia klo beneran dia sesetia dan sesoft threat itu😅
@engene-biasNi-ki,berasa obseeed sumphhh cowk gaibnya,berasa obseeed sumphhh cowk gaibnya
@ochanochan108,Coba ke psikoloh,coba ke psikoloh
@riskabayuamara2703,Ini klo suaminya tau gimana perasaannya ya? Apalgi brani up ke nadia harusnya dia tau konsekuensi nya ga sih 😮,ini klo suaminya tau gimana perasaannya ya? apalgi brani up ke nadia harusnya dia tau konsekuensi nya ga sih 😮
@kimjuuYen,untung setan nya cakep😭😭,untung setan nya cakep😭😭
@xenobiavow1471,Tidakk pernah ada mimpi yg bisa di ceritakan secara detil.. Mungkin ini hanya imajinasi si tiara 😂,tidakk pernah ada mimpi yg bisa di ceritakan secara detil.. mungkin ini hanya imajinasi si tiara 😂
@istimaltapadilah5923,"Seruuu banget pliss❤

Ini kalo di bikin film bagus banget","seruuu banget pliss❤

ini kalo di bikin film bagus banget"
@JessicaSisilia,"Part 2 ga sih,, aku blum move on loh dari kisah yg ini, aku ingin tahu berita terkininya tiara sama kekasih goibnya😊❤","part 2 ga sih,, aku blum move on loh dari kisah yg ini, aku ingin tahu berita terkininya tiara sama kekasih goibnya😊❤"
@tiaratiara2828,Ehh kok nama ku😂,ehh kok nama ku😂
@ImatRohimat-v4w,Ini mah cerita Lucifer si raja setan KA nadia,ini mah cerita lucifer si raja setan ka nadia
@sridewihastuti9223,Suaminya bukannya pernah mimpi laki² itu ya. Dia ngeh gak ya anak membarnya mirip laki² yg d mimpinya. Apa karena yg d mimpi suaminya lg dalam keadaan jelek,suaminya bukannya pernah mimpi laki² itu ya. dia ngeh gak ya anak membarnya mirip laki² yg d mimpinya. apa karena yg d mimpi suaminya lg dalam keadaan jelek
@AyyBangtanMuslim,tayo,tayo
@SurianiAndika,Tanya tiara dong kak part duanya😅,tanya tiara dong kak part duanya😅
@SurianiAndika,Diantara semua cerita cuman ini yang sangaaaatttt ku suka❤ kyk masuk dalam ceritanya wak,diantara semua cerita cuman ini yang sangaaaatttt ku suka❤ kyk masuk dalam ceritanya wak
@kakulilchanel1516,tiara polos dari lahir,tiara polos dari lahir
@BuyungChristianto,mbak omara sangatnbaik dan sangat berpengaruhbdidalam berceritq terimankasihbmbak nadia❤❤❤,mbak omara sangatnbaik dan sangat berpengaruhbdidalam berceritq terimankasihbmbak nadia❤❤❤
@denigunawan8800,Saya hanya suka pmbawaan narator nya yg ekspresif jadi bikin penasaran bgmna endingnya nih cerita dan saya sangat puas mendengarkan sampai akhir,saya hanya suka pmbawaan narator nya yg ekspresif jadi bikin penasaran bgmna endingnya nih cerita dan saya sangat puas mendengarkan sampai akhir
@wahyuabdillah8100,"Menurut ku itu salah si Tiara juga, dalam 14 tahun selalu diganggu dalam mimpi itu aja udah ga wajar. Seharusnya si Tiara nyari orang pintar buat putusin hubungan dia dengan si pangeran itu.","menurut ku itu salah si tiara juga, dalam 14 tahun selalu diganggu dalam mimpi itu aja udah ga wajar. seharusnya si tiara nyari orang pintar buat putusin hubungan dia dengan si pangeran itu."
@devitanova-z2e,Mauduitgak,mauduitgak
@FiraKrian,"Istrinya gk waras lakinya gk waras neneknya gk waras, fyi aku ngetik gini bukan cuma asal ngetik ya
1. Kenapa aku bilang istrinya gk waras karna istrinya gk terbuka gk terus terang ke keluarganya 
2. Kenapa aku bilang suaminya gk waras ya karna dari awal istrinya sdh ngasih tau hal yg penting dari awal tapi mungkin kata suaminya itu spele tapi tdk buat istrinya
3. Kenapa aku bilang neneknya gk waras, iya ini yg paling gk waras, dari awal tiara di munculin sama laki"" Ini dia tdk berusaha ngomong sm suaminya(kakeknya tiara) sama ibunya tiara dan bpk tirinya tiara padahal aku Sima dari ceritanya kak Nadia kayaknya neneknya ini tau hal sesuatu dari sosok laki"" Ini, dan waktu tiara hilang di apart dan neneknya ngelarang suaminya buat ngelapor ke polisi karna tiara hilang itu sdh sangat""janggal
Intinya di sini pyur bukan kesalahan tiara tapi nenek dan suaminya tiara yg terlau menyepelekan sesuatu padahal kalau suaminya bisa berfikir dg jernih mimpinya dia dan tiara itu sangat"" Sinkron bgt, tdk mungkin tiara dan suaminya bisa mimpi hal yg serupa, kalau difikir secara logis jg tiara ini kyk menikmati kenapa dia tdk terbuka aja aja sih sama ibunya, dan dia gk buka mulut sampai sekarang, padahal kalau orang yg bnr"" Waras saat dia di bawa ke kehidupannya si cowok gk jelas ini dan di detik"" Dia mandi di air terjun sama pria ini sampai melakukan hal yg di luar nalar masak dia gk ngeh kalau dia ketemu dg keadaan basah kuyup gitu, padahal itu sangat"" Nyambung bgt sama mimpinya, dan aku berharap suaminya baca ini, biar istrinya di bawa ke pak ustad biar di ruqiah, dan suaminya bisa intropeksi karna dia tdk menanyakan dg tenang kepada istrinya soal mimpi yg serupa itu","istrinya gk waras lakinya gk waras neneknya gk waras, fyi aku ngetik gini bukan cuma asal ngetik ya
1. kenapa aku bilang istrinya gk waras karna istrinya gk terbuka gk terus terang ke keluarganya 
2. kenapa aku bilang suaminya gk waras ya karna dari awal istrinya sdh ngasih tau hal yg penting dari awal tapi mungkin kata suaminya itu spele tapi tdk buat istrinya
3. kenapa aku bilang neneknya gk waras, iya ini yg paling gk waras, dari awal tiara di munculin sama laki"" ini dia tdk berusaha ngomong sm suaminya(kakeknya tiara) sama ibunya tiara dan bpk tirinya tiara padahal aku sima dari ceritanya kak nadia kayaknya neneknya ini tau hal sesuatu dari sosok laki"" ini, dan waktu tiara hilang di apart dan neneknya ngelarang suaminya buat ngelapor ke polisi karna tiara hilang itu sdh sangat""janggal
intinya di sini pyur bukan kesalahan tiara tapi nenek dan suaminya tiara yg terlau menyepelekan sesuatu padahal kalau suaminya bisa berfikir dg jernih mimpinya dia dan tiara itu sangat"" sinkron bgt, tdk mungkin tiara dan suaminya bisa mimpi hal yg serupa, kalau difikir secara logis jg tiara ini kyk menikmati kenapa dia tdk terbuka aja aja sih sama ibunya, dan dia gk buka mulut sampai sekarang, padahal kalau orang yg bnr"" waras saat dia di bawa ke kehidupannya si cowok gk jelas ini dan di detik"" dia mandi di air terjun sama pria ini sampai melakukan hal yg di luar nalar masak dia gk ngeh kalau dia ketemu dg keadaan basah kuyup gitu, padahal itu sangat"" nyambung bgt sama mimpinya, dan aku berharap suaminya baca ini, biar istrinya di bawa ke pak ustad biar di ruqiah, dan suaminya bisa intropeksi karna dia tdk menanyakan dg tenang kepada istrinya soal mimpi yg serupa itu"
@anggiraditia2609,"35:29 aku nonton ulang... Dan ya dlu pas aku umur 12 thn, mimpi 5 kali dengan cwo sama, bedanya aku langsung cerita ke orangtuaku, ga kek tiara yg diam malah cuma cerita ke kakeknya doang... 

Dlu aku langsung didoakan dan dibersihkan karena hey itu jin...
Malah tiara kena tipu daya jin hemmm","35:29 aku nonton ulang... dan ya dlu pas aku umur 12 thn, mimpi 5 kali dengan cwo sama, bedanya aku langsung cerita ke orangtuaku, ga kek tiara yg diam malah cuma cerita ke kakeknya doang... 

dlu aku langsung didoakan dan dibersihkan karena hey itu jin...
malah tiara kena tipu daya jin hemmm"
@MenisiaElipin,"Sejujurnya ini kali yg ke 4 atau ke 5 kali sy ulang dengar cerita ini.... cerita yang sangat mengesankan  dan sukar untuk di lupakan.Sehinggakan sampai ke saat ini, tertanya2 apakah kesudahan cerita ini....","sejujurnya ini kali yg ke 4 atau ke 5 kali sy ulang dengar cerita ini.... cerita yang sangat mengesankan  dan sukar untuk di lupakan.sehinggakan sampai ke saat ini, tertanya2 apakah kesudahan cerita ini...."
@sitinurjanah1711,suka bngt lihat vdeo kakak satu ni,suka bngt lihat vdeo kakak satu ni
@srimulyanti9989,"Itu pentingnya kalo mau tidur ambil air wudhu
Sebelum naik ke kasur
Bersihkan dulu kasur dg baca doa2 dan ayat kursi
Sebelum tidur jangan lupa baca doa
Insha Alloh tidur aman tdk di ganggu setan.....","itu pentingnya kalo mau tidur ambil air wudhu
sebelum naik ke kasur
bersihkan dulu kasur dg baca doa2 dan ayat kursi
sebelum tidur jangan lupa baca doa
insha alloh tidur aman tdk di ganggu setan....."
@mudahalbar759,hayoo siapa yg nontonnya di taun 2025 sinii yoo merapatt,hayoo siapa yg nontonnya di taun 2025 sinii yoo merapatt
@Ala3517,ihh ini beneran gasii??😫 trus kalo emg beneran itu sekarang anak kembar nya gimana? trus sampe sekarang blm di kasih tau suami sm keluarganya ttg mimpi hubungan badan itu?? 😱😞😭,ihh ini beneran gasii??😫 trus kalo emg beneran itu sekarang anak kembar nya gimana? trus sampe sekarang blm di kasih tau suami sm keluarganya ttg mimpi hubungan badan itu?? 😱😞😭
@inayahmessiana3i737,Aq mimpi sering di dekati laki laki.tpi setelah mimpi itu beberp hari dan ada laki laki yg mendekati aku.tpi bukan seneng sih aku ka.malah takut 😂krn aku udh punya suami 😅mkny klo dah mimpi begitu aku waspada.😢,aq mimpi sering di dekati laki laki.tpi setelah mimpi itu beberp hari dan ada laki laki yg mendekati aku.tpi bukan seneng sih aku ka.malah takut 😂krn aku udh punya suami 😅mkny klo dah mimpi begitu aku waspada.😢
@abdulwahab6508,"Bisa GK si Wak bawain nya biasa ajh,kag usah bacot2 biar enak di denger nya","bisa gk si wak bawain nya biasa ajh,kag usah bacot2 biar enak di denger nya"
@cungcung987,Sstuju banget knp tiara ga rukiyah aja karna kan beda alam ini pasti dicintai jin sih menurutku😢,sstuju banget knp tiara ga rukiyah aja karna kan beda alam ini pasti dicintai jin sih menurutku😢
@IndriYaniYani-oo3hq,Part2 dong kak Tiara biar di ceritakan sama kak Nadia omara😊,part2 dong kak tiara biar di ceritakan sama kak nadia omara😊
@NoviNovirosmiati,😢aku sedi😢,😢aku sedi😢
@UdinZaenudin-f1b,Kasian banget suaminya ya allah😢😢,kasian banget suaminya ya allah😢😢
@NovianaAgustin-y7i,Sumpah kek webtoon jadi nya wkwk,sumpah kek webtoon jadi nya wkwk
@MeylingLie,"Sejauh ini Dari semua khw  
Ini yg pling menjadi favoritku😊","sejauh ini dari semua khw  
ini yg pling menjadi favoritku😊"
@Arsyaarsya-z9h,tiara nya bungul imannya lemah harusnya datang ke ruqiah,tiara nya bungul imannya lemah harusnya datang ke ruqiah
@krtikarmd,setiap kali kakak berbicara ak bisa me imajinasi kanya seperti langsung melihat nya❤,setiap kali kakak berbicara ak bisa me imajinasi kanya seperti langsung melihat nya❤
@alyamaharani-f5l,"aku jg pernah mimpi bginii tpi cowo ini naik kuda warna coklat, 3 hari berturut2 mimpi yg sama tapi cowo di mimpiku ini g bicara diem aja dia senyum
dan aku gtau tbtb aja g pernah mimpi lagi skrg kaya yauda smpe disitu aja🥲","aku jg pernah mimpi bginii tpi cowo ini naik kuda warna coklat, 3 hari berturut2 mimpi yg sama tapi cowo di mimpiku ini g bicara diem aja dia senyum
dan aku gtau tbtb aja g pernah mimpi lagi skrg kaya yauda smpe disitu aja🥲"
@prisiliyaliya7573,Jadi takut soalnya aku sering mimpi laki2 ganteng banget datengin aku,jadi takut soalnya aku sering mimpi laki2 ganteng banget datengin aku
@LifeJourney.2325,"Astaghfirullahalazim... Sukar dipercayai tapi tiada yang mustahil kan. Ya Allah, benar kah ini?? 🫨🫨","astaghfirullahalazim... sukar dipercayai tapi tiada yang mustahil kan. ya allah, benar kah ini?? 🫨🫨"
@elmhmmdhkm,"""Tidak pernah ruqyah"", gua langsung mikir si tiara kesengsem sama pangeran itu, dan lebih milih si pangeran itu di banding suami sah nya sendiri, mana pas tau dia hamil kaya ga pernah merasa bersalah lagi","""tidak pernah ruqyah"", gua langsung mikir si tiara kesengsem sama pangeran itu, dan lebih milih si pangeran itu di banding suami sah nya sendiri, mana pas tau dia hamil kaya ga pernah merasa bersalah lagi"
@intanintan4208,Kak Nadia..cerita kali ini seru tapi diluar nalar..jadi kepingin tau lanjutannya..gimana hubungan Tiara dengan suaminya pasca melahirkan anak kembar dengan anak raja itu,kak nadia..cerita kali ini seru tapi diluar nalar..jadi kepingin tau lanjutannya..gimana hubungan tiara dengan suaminya pasca melahirkan anak kembar dengan anak raja itu
@tenrigitara9946,astagfirullahalaxim😢,astagfirullahalaxim😢
@MozaSeptika,Ada yg dri 2025,ada yg dri 2025
@onionring8859,Maunya dicoba tes dna sih tir kata gw,maunya dicoba tes dna sih tir kata gw
@onionring8859,Tiara lupa kalo suaminya juga ada di mimpi yg sama,tiara lupa kalo suaminya juga ada di mimpi yg sama
@LukmanHakim-s4z1e,Pliss siapaun buat versi webtoon,pliss siapaun buat versi webtoon
@keysiakinanti4479,mangkannya kalo tidur pasang alarm,mangkannya kalo tidur pasang alarm
@cayr3ly829,"aku juga pernah mimpi dekat sama cwo yg ga dikenal, berlanjut 3x berturutt","aku juga pernah mimpi dekat sama cwo yg ga dikenal, berlanjut 3x berturutt"
@cunengalawiyah4019,"Merinding bgt crtanyaaa, tapii seruu anjayyy","merinding bgt crtanyaaa, tapii seruu anjayyy"
@sisidansasadanbebel,"Ga bisa move on, kak nad ga ada niat nanya kabar tiara gmna sekarang?","ga bisa move on, kak nad ga ada niat nanya kabar tiara gmna sekarang?"
@mumtaz2024aja,"Sy jd teingat dg mimpiku,. 
Sy prna mimpi yg sama sbyk 3x...dg mimpi yg sama . Ada seorang lelaki itu  ngotot ingin menikah dgku. Bahkan orang tuanya juga minta sy menikah dg anak smata wayangnya dan mengancam akan membunuh swamiku agar sy bisa menikah dg anaknya. 
Sedangkan posisi sy sudah menikah.
Gara2 mimpi itu sy takut mau tidur,,, sy takut skali.. Tp selang 1 minggu , sy mimpi itu lg.. Dan kali ini sy tekatkan dlm diriku,, sy gak boleh takut , sy harus brani . Soalnya dlm mimpi itu seakan2 nyata. 
Di mimpiku kali ini.. Orang tua lelaki itu makin ganas , dy marah2 gak jelas, bahkan dy ngancam akan membunuh swamiku lg. 
Tp kali ini sy tantang balik mereka br3... Orang tua itupun makin marah dgku.. Dan berubah menjadi ular. 
Jujur sy takut skali... Tp di dlm mimpi sy harus kuat.. Sy ikhlas sy kalah dan meninggal disini asalkan sy bisa melawan mereka dan tdk menggangu swamiku. 
Di dlm mimpi itu sy ambil garam batu , sy baca sholawat dan sy lemparkan kemereka. 
Dan garam itu kena ke anaknya.. Dan anaknya itu lasung hilang. 
Hemb... Sy takut mau mengingatnya lg.. 🥲🥲","sy jd teingat dg mimpiku,. 
sy prna mimpi yg sama sbyk 3x...dg mimpi yg sama . ada seorang lelaki itu  ngotot ingin menikah dgku. bahkan orang tuanya juga minta sy menikah dg anak smata wayangnya dan mengancam akan membunuh swamiku agar sy bisa menikah dg anaknya. 
sedangkan posisi sy sudah menikah.
gara2 mimpi itu sy takut mau tidur,,, sy takut skali.. tp selang 1 minggu , sy mimpi itu lg.. dan kali ini sy tekatkan dlm diriku,, sy gak boleh takut , sy harus brani . soalnya dlm mimpi itu seakan2 nyata. 
di mimpiku kali ini.. orang tua lelaki itu makin ganas , dy marah2 gak jelas, bahkan dy ngancam akan membunuh swamiku lg. 
tp kali ini sy tantang balik mereka br3... orang tua itupun makin marah dgku.. dan berubah menjadi ular. 
jujur sy takut skali... tp di dlm mimpi sy harus kuat.. sy ikhlas sy kalah dan meninggal disini asalkan sy bisa melawan mereka dan tdk menggangu swamiku. 
di dlm mimpi itu sy ambil garam batu , sy baca sholawat dan sy lemparkan kemereka. 
dan garam itu kena ke anaknya.. dan anaknya itu lasung hilang. 
hemb... sy takut mau mengingatnya lg.. 🥲🥲"
@IqroHadiyatulloh,Pliss banget aku baru nonton dari awal sampe akhir merinding bngt seolah olah bisa menggambarkan di dalam pikiranku 😮😮😮,pliss banget aku baru nonton dari awal sampe akhir merinding bngt seolah olah bisa menggambarkan di dalam pikiranku 😮😮😮
@sutomoutama,Perasaanq campur aduk mendengar kisah ini antara takut iri dan sedih entahlah aku juga ikut stres seperti tiara😅,perasaanq campur aduk mendengar kisah ini antara takut iri dan sedih entahlah aku juga ikut stres seperti tiara😅
@khannayafollow1749,"intinya ngikutin KHW selalu bikin macu adrenalin dan cerita2nya benaran berasa nyatanya,, nyampai banget gimana horornya kisah kehidupan manusia di belahan muka bumi ini😂","intinya ngikutin khw selalu bikin macu adrenalin dan cerita2nya benaran berasa nyatanya,, nyampai banget gimana horornya kisah kehidupan manusia di belahan muka bumi ini😂"
@nuryuslam3657,"Takutnya sih gini kak nad walaupun si kak Tiara ini GK ruqyah kemungkinan dia dibikin lupa kalau dia bisa memutuskan hubungan nya dengan si pria atau bisa jadi si kak Tiara ini diam,diam juga maaf ini spekulasi liar dan gila ku aja jangan di ambil hati. Bisa jadi si kak Tiara ini diam diam juga menantikan momen bertemu si pria dan menikmati nya karna ini juga menyangkut persoalan setan atau jin kak nadia","takutnya sih gini kak nad walaupun si kak tiara ini gk ruqyah kemungkinan dia dibikin lupa kalau dia bisa memutuskan hubungan nya dengan si pria atau bisa jadi si kak tiara ini diam,diam juga maaf ini spekulasi liar dan gila ku aja jangan di ambil hati. bisa jadi si kak tiara ini diam diam juga menantikan momen bertemu si pria dan menikmati nya karna ini juga menyangkut persoalan setan atau jin kak nadia"
@vieee2,"Ihh penasaran sma wajh ank kembarnya, ya Allah semoga bukan jin jahat.","ihh penasaran sma wajh ank kembarnya, ya allah semoga bukan jin jahat."
@LindaLindawati-u3q,👍👍👍👍👍👍👍,👍👍👍👍👍👍👍
@himatussyariahalfananihima3867,"Assalamualaikum,kak Nadia ...biasanya ikut anak dengerin KHW sama anak q trs jadi ketagihan sikses selalu kak Nad❤","assalamualaikum,kak nadia ...biasanya ikut anak dengerin khw sama anak q trs jadi ketagihan sikses selalu kak nad❤"
@Wforthemoon,"Bener nih, sering nya cetita kaya gini Jin nya ganteng asli nya genderuwo atau buto ijo.. ngeri banget","bener nih, sering nya cetita kaya gini jin nya ganteng asli nya genderuwo atau buto ijo.. ngeri banget"
@Caca-l5p2u,kak nad aku udaa nonton smua khw sampe akhirnya ku ulang' yang udah d tonton pun 😭,kak nad aku udaa nonton smua khw sampe akhirnya ku ulang' yang udah d tonton pun 😭
@AvifaTutdinia,seru bgt kalo kak nadia bawain ceritanya hehe,seru bgt kalo kak nadia bawain ceritanya hehe
